Sportprofile;Archery;Athletics - Running;Badminton;Baseball - Softball;Basketball;Bowling;Canoe / Kayak;Canoe / Kayak (sprint);Climbing;Combat Sports - Judo;Combat Sports - Karate;Combat Sports - Pencak Silat;Combat Sports - Taekwondo;Cycling;Diving;Figure Skating;Free Running;Futsal;Gymnastics;Gymnastics - TRA;Handball;Hockey;Mountainbike;Netball;Rowing;Sailing;Sepak Takraw;Shooting;Soccer;Swimming;Table Tennis;Tennis;Triathlon;Volleyball
Morphological Characteristics;4.19;6.88;6.12;5.25;8.00;5.71;6.50;6.40;3.82;5.00;5.15;6.29;8.20;6.09;4.44;3.60;4.76;5.00;3.44;4.15;6.91;6.14;5.73;7.69;7.63;5.73;7.67;5.06;5.46;7.40;5.67;7.26;5.73;8.36
Physical Characteristics;32.31;47.24;47.19;43.25;47.18;35.00;42.56;38.80;42.68;49.38;46.54;44.93;49.67;42.47;37.11;48.00;44.00;33.36;46.19;42.35;46.77;46.14;44.40;48.10;42.06;46.55;48.79;26.21;45.49;40.70;46.20;45.93;43.22;44.42
Motor control;26.38;38.06;54.26;47.83;50.74;33.88;26.65;24.10;34.14;31.00;41.04;50.57;45.87;32.15;31.83;34.96;39.33;42.55;42.13;30.12;52.77;40.14;32.73;46.86;24.31;31.82;52.98;24.97;51.37;29.62;56.53;58.64;27.70;53.18
Contextual Characteristics;12.00;11.12;16.63;4.33;19.05;17.00;10.62;7.80;13.00;27.31;24.69;20.00;24.67;10.51;18.28;17.56;10.48;15.45;18.69;18.65;20.45;4.50;12.60;9.59;7.38;8.36;10.58;17.12;12.13;16.52;17.01;16.22;11.43;12.59
